study_hours,attendance,previous_marks,internal_marks,assignment_score,sleep_hours,extracurricular,final_score
6.4,66.5,78.2,76.3,69.3,7.5,1,71.7
3.4,45.0,38.5,43.0,47.3,6.7,0,40.6
6.3,68.5,74.3,62.9,65.2,7.6,0,66.3
7.4,91.9,81.9,86.5,81.1,8.5,1,86.7
4.6,52.9,52.3,46.5,46.4,7.1,1,52.1
4.7,48.3,41.9,50.0,53.0,6.9,0,48.2
5.6,71.0,60.3,68.8,68.1,7.5,1,66.6
9.0,100,91.9,100,100,9,1,98.8
5.3,52.3,53.6,51.6,54.1,7.3,0,52.5
9.4,100,100,100,96.9,8.8,0,98.4
5.7,51.4,47.8,55.5,50.1,7.4,0,55.4
5.7,69.5,75.2,73.8,71.5,8.2,0,70.7
5.0,47.5,55.0,58.7,50.5,7.1,1,53.1
7.7,75.9,78.9,80.8,79.5,8.6,1,82.2
2.7,30,29.0,27.5,26.4,5.6,1,21.5
8.3,100,90.7,99.4,96.8,8.6,0,97.8
7.6,76.0,77.0,88.3,82.6,8.4,0,81.8
5.1,59.3,53.4,60.1,63.4,7.6,0,58.6
8.3,88.8,83.7,86.1,82.3,8.6,1,84.2
5.4,67.9,61.5,61.3,66.6,8.0,1,65.5
2.5,30,20,28.0,27.2,5.9,1,22.1
7.4,86.0,89.4,86.1,87.1,8.8,0,85.4
2.2,30,23.9,28.9,33.3,6.0,0,27.7
2.8,30,20,30.1,28.1,6.1,1,23.4
3.2,38.6,36.8,33.8,38.0,6.8,0,37.3
8.6,99.5,88.2,98.1,92.7,9,1,93.0
3.8,32.9,32.9,36.3,37.7,6.6,1,39.0
7.5,77.0,77.1,77.0,76.7,7.8,0,75.4
8.1,98.3,86.9,93.6,98.3,8.3,0,91.7
6.9,71.2,73.9,76.3,67.8,8.1,0,73.5
5.3,62.0,57.9,60.9,63.6,7.2,1,63.7
8.5,85.4,81.0,94.3,91.9,8.7,1,88.4
9.5,100,100,95.3,95.6,8.7,0,98.6
2.7,30,30.6,33.0,29.4,5.8,1,26.7
9.4,99.3,92.8,98.7,93.9,8.6,1,96.4
4.0,38.2,46.7,39.6,39.0,6.6,0,44.0
8.2,96.1,88.4,98.6,93.6,9.0,1,93.6
2.6,30,28.9,24.8,20,5.8,0,24.4
8.5,92.4,86.3,94.7,93.5,8.9,1,92.4
7.0,74.0,72.4,80.1,72.8,8.1,0,79.1
5.8,62.5,74.6,76.1,64.1,8.0,1,69.3
8.1,93.2,85.9,88.8,85.9,8.8,0,87.2
3.1,31.6,34.4,41.4,36.9,6.6,1,35.7
5.5,56.9,66.1,61.8,56.4,7.1,0,62.5
8.5,95.4,97.1,94.8,98.0,8.8,1,99.4
6.9,75.9,86.3,78.3,83.4,8.1,1,81.8
8.5,90.3,89.6,97.8,92.4,8.8,1,95.2
7.3,92.5,84.3,80.5,86.0,8.3,0,87.0
7.7,82.2,77.2,83.8,85.2,8.7,0,82.3
7.3,82.7,84.3,83.2,80.0,8.6,0,85.7
6.7,74.4,79.8,73.1,72.4,8.5,1,77.9
8.9,96.0,94.2,91.0,100,8.8,1,97.1
7.7,84.1,86.8,89.0,82.9,8.3,1,86.2
7.9,77.6,82.2,82.7,87.0,8.3,1,81.0
4.2,41.2,36.4,40.3,32.6,6.4,1,39.6
4.5,39.1,52.0,46.5,49.2,6.9,1,44.6
7.1,83.4,77.8,87.3,79.6,8.5,1,83.5
4.1,43.4,46.7,42.5,42.5,6.6,0,42.1
6.7,60.7,67.9,72.3,60.5,8.1,0,66.5
5.5,51.0,50.2,59.5,60.2,7.5,1,55.3
8.4,88.5,94.8,84.8,96.3,8.5,0,90.2
8.7,89.5,99.7,96.8,93.1,8.8,0,95.9
5.0,52.1,59.0,52.0,55.7,6.8,1,51.7
2.5,33.1,34.0,31.4,33.6,6.4,0,29.0
6.6,80.3,68.6,75.3,75.5,8.0,0,75.8
7.8,74.1,84.0,83.1,73.0,8.4,0,79.7
6.6,73.1,66.9,69.3,63.9,8.0,0,70.6
7.8,82.0,89.3,84.3,81.2,8.8,1,86.3
8.5,99.0,91.8,93.1,90.2,8.6,0,94.7
3.8,30,39.4,37.9,31.0,6.5,1,35.0
6.2,71.7,62.0,73.7,60.9,7.7,0,67.6
5.9,75.0,78.4,76.0,67.3,7.9,0,72.8
7.3,84.9,73.9,77.2,74.9,8.5,1,81.6
4.6,54.4,50.8,50.7,50.4,6.9,0,50.6
8.3,99.4,95.1,100,92.2,8.8,0,94.0
9.2,100,93.1,94.4,100,8.9,1,99.9
3.6,47.3,46.9,49.4,52.4,7.2,0,46.3
7.3,81.9,85.0,81.6,83.3,8.8,0,88.4
3.4,40.0,43.9,48.6,43.7,7.0,1,42.6
6.8,69.0,77.9,74.9,70.3,7.7,1,70.4
5.3,58.6,45.8,49.0,58.0,7.4,0,53.3
7.6,79.9,74.6,85.5,73.5,8.6,1,80.3
6.6,78.2,77.3,79.6,81.3,8.0,1,80.4
7.8,92.6,94.9,95.8,85.7,8.6,1,90.4
7.8,89.2,79.6,90.5,89.8,8.8,0,85.3
7.0,80.7,87.6,74.7,80.7,8.1,1,80.3
4.1,50.4,49.5,40.3,48.4,6.7,1,46.6
4.8,55.8,55.5,52.5,45.2,6.7,0,50.1
4.1,50.4,45.2,47.7,54.0,6.8,0,51.2
6.4,64.5,72.6,63.5,65.9,7.8,0,69.8
5.2,50.3,54.8,51.1,49.6,7.0,1,51.2
7.4,91.3,93.4,86.3,86.2,8.1,0,86.6
7.1,79.4,81.2,86.8,82.7,8.5,1,80.1
5.5,55.7,60.3,54.7,57.8,6.8,0,54.3
6.7,71.7,71.8,77.4,81.3,8.0,0,75.8
9.7,100,100,100,98.7,9,1,99.8
6.4,73.3,64.9,63.0,66.1,8.1,1,69.5
3.4,30,25.0,29.8,28.7,6.2,0,30.5
8.0,78.3,90.1,76.8,77.3,8.6,1,82.8
4.6,62.7,64.4,57.0,51.7,7.3,0,57.1
5.9,67.8,61.2,73.2,71.6,7.9,1,66.9
7.2,76.2,76.8,73.7,76.4,8.0,1,78.5
4.5,59.5,57.7,50.6,55.9,7.1,1,56.5
3.7,36.5,42.1,34.4,38.9,6.6,1,39.8
4.1,50.5,50.7,52.9,48.7,7.2,0,51.4
7.6,79.3,89.5,85.5,84.9,8.5,1,84.8
9.5,96.1,94.4,100,100,8.5,0,97.5
7.6,90.1,76.9,87.0,79.0,8.1,0,84.2
6.5,79.6,83.7,76.3,81.8,8.3,0,77.5
3.8,43.2,36.3,36.9,34.6,6.4,1,37.3
4.0,48.8,46.0,49.0,50.3,6.9,0,50.8
8.7,96.8,95.3,89.9,96.2,8.5,1,96.6
6.9,70.5,79.7,79.2,71.4,8.0,1,73.0
8.0,81.9,92.4,88.4,95.0,8.2,0,88.1
6.5,73.4,63.0,71.9,63.0,8.1,0,69.2
4.5,48.7,52.1,41.9,49.3,6.9,0,48.1
7.7,70.4,70.8,72.3,83.3,8.0,0,77.3
8.1,89.5,99.9,91.1,94.8,9,1,93.4
7.2,83.4,84.8,80.3,76.4,8.1,0,80.6
7.5,81.7,80.0,84.3,77.1,8.6,1,81.7
6.8,74.4,67.3,72.0,68.5,7.5,0,69.5
8.9,95.8,88.5,91.8,86.7,9.0,0,91.9
9.4,96.2,96.9,94.6,89.9,9,0,95.8
8.4,89.5,89.6,94.0,85.4,9.0,1,92.1
8.1,90.5,98.9,97.0,98.0,8.8,0,93.5
4.8,52.0,62.2,49.8,56.2,7.6,0,56.7
3.6,39.7,28.4,41.8,37.2,6.4,1,35.2
9.5,100,100,96.7,91.8,9,0,98.6
8.2,85.7,86.3,85.0,93.4,8.6,1,90.9
8.5,93.5,96.4,88.9,96.6,8.9,0,94.5
5.5,62.0,66.8,65.8,55.2,7.8,1,60.9
7.9,90.3,85.1,97.1,89.0,8.7,1,91.8
2.6,30,25.3,23.7,26.4,6.1,1,29.3
7.5,87.0,78.3,85.4,77.6,8.2,1,81.4
6.8,73.8,70.5,72.4,84.2,8.2,0,78.1
7.1,81.1,75.9,85.1,82.1,7.8,1,78.5
4.8,51.3,42.0,43.7,45.6,6.6,1,48.4
8.7,90.1,95.2,100,90.1,8.8,0,93.8
5.9,63.5,70.9,70.1,70.5,7.5,1,65.7
8.8,89.8,91.6,94.8,88.3,8.5,0,90.0
7.0,84.7,87.6,75.2,82.4,8.3,1,81.0
4.6,58.5,59.1,58.7,60.9,7.4,0,55.1
5.7,60.2,64.2,66.6,65.8,7.3,0,65.9
6.5,69.3,59.2,64.0,66.4,7.3,0,65.7
5.6,64.0,63.1,74.2,64.5,7.7,0,67.4
1.9,30,28.1,20,20,6.0,0,23.2
2.9,30,34.8,23.4,27.4,6.5,0,28.3
8.3,95.4,97.0,100,100,8.8,0,98.0
7.7,79.6,79.9,82.9,86.6,8.2,1,82.3
5.9,66.5,60.8,69.4,60.2,7.6,1,67.2
6.9,77.6,74.4,85.6,75.1,8.1,1,81.9
8.9,95.7,97.8,98.6,100,8.6,0,99.7
8.8,89.9,88.6,88.7,89.0,8.9,0,95.0
4.1,49.7,48.0,43.7,40.7,6.6,1,44.1
9.2,99.0,93.8,98.8,100,9,1,98.8
7.5,79.2,84.6,71.9,71.9,8.3,1,77.0
7.4,89.0,88.4,86.4,84.3,8.5,1,85.9
2.6,30,28.0,23.4,24.7,5.6,1,21.2
6.5,75.3,77.4,70.0,65.9,7.7,1,70.2
2.3,30,27.0,31.0,28.9,6.0,1,25.1
2.3,30,32.2,20,28.0,6.1,0,24.3
7.2,82.3,84.5,80.8,82.7,8.1,1,82.7
5.4,51.2,50.7,57.2,55.3,7.0,0,54.0
8.1,82.1,81.2,87.0,86.1,8.5,0,82.2
7.1,88.1,81.7,79.2,85.7,8.4,1,82.7
6.2,65.0,69.6,67.1,64.4,7.8,1,68.8
8.5,95.9,100,100,94.7,8.7,0,99.4
6.4,75.5,71.7,76.6,64.4,8.1,0,70.4
3.2,34.3,21.2,29.9,26.1,6.4,0,28.0
4.8,53.6,48.4,49.3,52.2,6.8,0,52.0
5.2,47.5,50.6,49.5,46.2,7.4,0,51.1
2.0,30,27.6,28.4,24.5,6.2,1,28.6
7.8,90.0,94.6,90.9,98.4,8.9,0,92.5
6.0,55.4,66.0,58.4,64.0,7.5,0,61.1
8.6,97.7,98.2,97.2,100,9.0,0,95.1
8.7,97.4,94.2,88.0,91.3,8.9,0,93.0
5.7,59.2,69.8,68.9,63.7,7.8,1,65.1
9.1,91.5,90.2,88.7,88.5,8.5,0,94.1
7.3,81.6,71.9,75.5,76.6,8.4,1,79.7
1.6,30,31.5,24.5,21.8,5.7,1,23.7
2.7,31.6,29.5,34.7,32.7,6.0,1,28.0
4.9,54.6,55.7,54.4,61.6,7.4,1,60.3
7.8,74.4,74.1,76.3,78.4,8.5,1,79.5
8.5,100,97.7,94.6,95.7,9,0,97.9
7.2,87.6,80.6,83.7,91.8,8.8,0,85.3
5.7,58.6,64.6,56.2,61.9,7.6,0,59.0
6.5,79.9,78.4,82.3,79.7,8.3,1,78.1
3.3,41.4,41.0,33.4,45.4,6.4,1,39.1
5.6,57.6,69.5,63.0,67.6,7.7,1,63.1
8.0,94.3,98.7,96.0,93.7,8.8,1,91.3
3.0,30,24.4,28.3,24.6,6.3,1,27.2
3.8,33.9,38.9,44.1,37.2,6.7,0,38.1
3.5,47.5,43.0,46.3,45.4,7.0,0,43.6
2.5,30.7,20,30.7,29.2,5.9,0,26.4
3.5,46.9,45.7,42.1,43.4,7.0,0,42.6
6.2,62.7,69.3,64.0,61.0,7.6,1,66.2
8.0,95.2,94.3,96.1,91.5,8.3,0,90.2
8.1,83.0,91.9,85.5,84.4,8.1,1,85.5
3.9,40.5,42.5,41.3,42.2,6.8,0,41.7
5.2,48.5,47.3,53.9,51.6,6.8,1,53.5
3.9,39.8,43.0,50.6,48.5,7.1,1,45.1
8.6,88.8,96.0,92.9,86.9,8.6,1,88.1
9.0,100,91.2,98.0,90.6,8.6,0,97.5
7.5,81.2,78.3,85.9,85.3,8.7,0,83.0
2.0,30,23.0,20,20,5.9,0,21.8
3.0,30,23.1,28.3,30.9,5.9,1,27.7
8.5,86.8,97.6,94.9,92.5,8.5,1,91.9
8.4,90.4,96.7,92.0,93.4,9,0,97.0
8.9,85.1,97.8,95.2,90.2,8.6,1,92.0
2.8,43.3,38.6,39.9,35.1,6.3,1,37.9
5.4,64.5,62.1,60.7,58.5,7.0,0,60.7
7.4,83.6,72.6,80.9,73.9,7.9,1,77.6
8.6,98.8,95.0,92.4,88.4,8.7,1,91.9
7.8,87.1,86.0,96.6,92.6,8.9,0,91.0
3.4,34.4,46.1,33.2,43.9,6.2,0,39.3
7.6,84.6,80.0,88.6,91.0,8.6,1,85.4
2.5,30,37.5,25.5,31.8,6.1,1,31.7
4.3,40.2,38.2,44.3,42.3,6.6,0,45.1
8.4,95.6,95.9,93.6,91.2,8.8,0,97.0
7.2,91.3,89.8,79.8,92.2,8.6,0,86.0
7.8,77.6,76.7,71.3,73.7,8.1,0,78.2
5.2,53.8,59.4,64.3,61.2,7.3,0,58.6
3.0,30,31.0,27.8,22.0,5.9,1,27.4
7.3,83.8,84.7,80.9,76.5,7.7,0,77.0
1.8,30,20.6,28.8,32.8,6.3,1,25.8
4.4,48.2,49.5,50.3,48.3,7.3,1,52.2
8.5,100,95.1,96.8,93.1,9,0,96.0
8.4,85.6,89.0,88.3,91.2,8.4,1,84.7
8.8,100,95.1,100,100,8.7,0,97.6
8.9,98.7,100,93.9,93.8,9,0,99.3
4.3,34.3,36.0,44.9,46.2,6.5,1,40.8
7.1,80.4,72.6,75.1,82.0,8.0,1,75.4
3.2,30,34.5,33.3,25.9,6.5,0,31.5
3.8,49.1,52.1,41.1,41.5,7.1,1,47.6
2.9,31.7,33.8,42.5,41.0,6.8,1,36.9
5.5,64.2,72.0,67.0,70.7,7.3,0,65.7
7.3,76.4,74.5,81.3,76.7,8.2,0,77.5
5.5,71.7,69.2,64.5,73.6,8.1,0,66.9
6.7,83.1,81.9,85.5,78.5,7.9,0,78.9
6.8,82.2,80.0,79.4,80.4,7.8,0,76.3
8.5,96.8,92.9,100,100,9,0,98.0
5.2,52.1,46.2,50.2,55.5,7.3,0,53.3
1.6,30,20,20,28.2,5.9,1,22.1
5.4,59.5,53.5,58.7,52.1,7.6,0,57.2
5.9,51.6,52.3,55.9,60.8,7.3,0,57.6
8.6,92.0,100,97.8,100,9,1,97.9
7.9,99.0,89.9,86.1,85.5,8.4,1,92.1
6.8,80.9,81.6,80.7,69.6,7.9,0,75.3
7.9,98.2,92.2,92.1,93.2,8.8,1,93.3
4.5,57.1,57.4,56.9,62.2,7.1,1,55.6
5.4,55.8,54.6,51.7,59.7,7.0,1,58.3
6.2,67.8,62.0,63.8,68.4,7.5,0,63.3
8.2,99.8,99.9,97.3,96.4,8.3,0,92.8
8.8,100,92.2,100,90.2,8.6,0,94.4
5.0,48.3,42.7,53.5,48.8,7.1,1,48.8
5.4,59.0,57.9,55.9,60.7,7.0,0,58.1
8.4,88.9,86.8,94.6,91.0,8.4,0,91.6
2.2,30,26.1,31.6,28.4,6.0,0,26.2
7.3,78.2,76.5,84.0,79.4,7.7,0,77.9
6.2,61.7,55.4,60.4,60.9,7.6,0,62.0
9.2,92.9,98.1,88.2,97.1,8.5,1,94.8
5.3,66.3,57.0,65.9,67.8,7.5,0,63.5
7.5,77.8,80.9,79.3,80.1,8.0,0,77.7
7.9,85.0,87.7,94.4,90.6,9,1,91.5
8.3,80.3,88.4,86.9,89.8,8.7,0,86.5
8.6,92.5,93.0,97.7,98.0,8.8,1,95.0
4.0,36.7,43.6,45.4,37.1,6.8,0,43.1
6.4,72.5,64.5,68.2,73.1,7.4,0,68.9
7.2,79.4,82.3,87.3,77.9,7.9,0,81.3
7.7,83.3,88.8,88.1,77.1,8.6,0,83.2
4.4,39.2,39.5,41.2,42.9,6.9,1,45.3
8.6,86.0,89.7,85.5,96.5,8.8,1,90.9
6.4,64.3,57.6,59.9,59.3,7.7,1,63.5
8.6,96.4,93.1,99.5,94.9,8.5,0,92.8
7.4,86.2,85.9,91.6,87.2,8.3,1,88.5
6.6,68.0,78.0,73.0,78.9,7.7,1,73.4
2.6,30,23.0,20.5,30.3,5.9,1,26.5
7.9,87.3,95.2,89.5,84.2,8.4,1,90.9
4.4,45.0,55.3,56.5,53.9,7.0,0,50.5
7.6,87.2,82.3,79.4,85.7,8.2,0,81.7
7.7,87.0,80.3,82.3,85.7,8.0,0,84.2
6.4,80.7,73.3,74.2,76.4,7.8,1,75.9
8.8,98.1,85.9,100,95.1,9,0,93.6
2.0,30,30.6,31.5,24.8,6.1,0,26.1
6.8,74.7,71.6,74.4,78.8,8.3,0,76.6
5.7,70.6,61.1,59.1,61.0,7.2,1,64.1
8.3,88.3,92.2,90.7,96.9,8.5,0,90.8
2.3,30,20,24.6,24.7,5.6,0,22.4
8.2,95.1,99.1,96.6,97.3,9,1,94.5
7.0,80.2,82.3,84.7,77.3,8.3,1,78.7
8.0,76.6,87.9,78.2,79.7,8.0,1,81.6
4.1,37.3,32.1,45.0,36.4,6.7,1,39.7
6.5,73.6,71.2,65.9,68.9,7.8,1,68.7
6.3,64.0,64.9,69.6,64.7,7.7,1,67.1
3.7,48.6,43.8,48.4,47.6,6.6,0,44.1
8.7,98.7,90.4,98.2,93.0,8.6,1,93.3
8.0,91.4,88.4,79.3,80.5,8.1,0,85.2
3.0,34.2,38.6,33.8,44.3,6.3,1,37.7
2.4,30,20,20,22.1,5.4,0,20.2
7.0,84.4,83.1,77.7,80.6,8.3,1,77.5
5.7,56.7,70.0,61.9,67.1,7.8,1,62.3
9.3,99.6,95.3,98.8,97.2,9,1,95.7
9.0,89.9,96.3,88.6,100,9,0,94.9
3.9,35.5,31.0,38.4,30.6,6.3,0,34.9
7.6,87.5,86.1,80.1,79.7,8.3,1,86.7
3.2,32.8,29.2,27.8,25.8,6.0,1,28.4
3.8,46.2,37.9,36.1,46.4,6.6,1,40.0
5.6,62.2,49.3,63.3,52.5,7.5,1,56.4
9.5,99.4,100,91.1,91.8,8.6,0,96.9
7.8,85.5,84.7,85.8,85.5,8.3,1,84.9
5.8,70.2,59.1,71.0,61.0,8.0,0,66.6
7.2,79.6,81.9,89.9,91.1,8.3,1,85.3
8.7,83.9,95.8,94.7,86.3,8.6,0,88.9
5.8,63.3,53.3,59.8,62.8,7.5,0,58.5
8.2,90.0,83.4,88.5,86.1,8.6,1,84.6
6.9,76.4,81.9,81.9,83.6,8.3,0,78.6
5.8,74.7,62.6,73.3,62.1,7.9,1,67.9
2.8,31.5,32.8,30.6,28.1,5.9,0,28.3
3.6,36.4,34.6,48.0,42.5,6.8,1,41.6
8.7,94.6,83.9,91.3,97.9,8.6,0,91.8
7.4,85.6,85.9,77.5,74.5,8.5,1,79.4
6.8,71.7,83.5,70.3,71.5,7.7,0,76.2
8.6,93.9,94.8,96.2,98.1,9,0,99.4
3.2,30,33.5,27.7,31.6,5.8,1,28.1
6.0,65.8,75.0,76.1,73.0,7.5,0,70.6
6.6,80.5,84.1,81.7,72.9,7.8,1,77.6
6.1,66.8,75.5,77.9,76.8,7.7,0,72.0
7.8,93.3,81.2,91.1,90.8,8.8,0,87.3
8.7,87.2,86.3,96.4,96.7,8.7,1,90.9
3.8,47.8,39.3,41.9,45.8,6.7,1,41.2
1.4,30,20,20,24.0,5.9,1,22.1
7.8,78.9,77.3,85.7,88.7,8.7,1,83.1
7.2,73.7,71.6,82.4,78.7,7.7,1,76.7
3.3,32.3,31.5,29.6,32.8,6.1,0,33.4
4.4,54.2,48.9,43.2,47.4,6.9,0,48.9
7.6,72.2,72.1,73.8,74.5,7.9,0,78.5
4.9,57.5,51.7,56.4,60.4,7.5,0,57.0
9.2,88.3,91.5,87.8,89.1,8.5,0,94.7
8.7,98.3,100,95.4,94.3,9,1,99.8
7.5,79.7,80.0,81.5,83.0,8.1,1,80.0
6.4,64.3,63.2,60.8,62.6,7.9,0,66.8
8.1,91.8,88.5,93.7,87.7,8.8,1,91.2
7.2,80.5,68.0,78.8,69.2,7.6,1,73.7
7.1,80.4,89.3,83.6,76.7,7.9,0,83.0
9.0,96.0,90.4,92.1,95.5,8.8,1,94.5
8.5,88.7,92.1,84.5,82.2,8.7,1,88.2
9.7,97.6,99.2,100,100,8.9,0,99.4
3.4,36.8,36.5,34.2,34.7,6.9,1,38.7
8.9,96.6,84.5,85.9,91.2,8.9,0,90.5
2.7,31.2,35.0,40.8,29.7,6.7,0,35.6
4.6,47.4,60.6,55.3,56.0,7.1,1,53.7
6.0,67.5,68.6,65.0,62.6,7.4,0,66.2
6.9,77.6,82.3,79.2,81.7,8.3,0,84.1
2.1,30,22.7,27.9,20.9,6.0,0,23.0
5.7,63.0,65.6,52.9,55.5,7.7,0,58.0
2.9,30,26.8,24.9,30.4,6.1,1,27.9
4.9,48.2,59.5,51.1,52.0,7.3,1,52.6
5.8,51.3,62.4,60.3,55.0,7.2,0,57.1
6.3,69.2,72.9,69.0,63.1,7.6,1,65.1
2.7,30,28.3,30.6,21.9,6.0,1,27.0
6.6,65.1,78.5,69.0,78.1,7.9,1,71.6
